start,mid1,mid2,end
BTC,MX,USDC,BTC
BTC,USDC,MX,BTC
BTC,MX,EUR,BTC
BTC,EUR,MX,BTC
BTC,USDF,ETH,BTC
BTC,ETH,USDF,BTC
BTC,USDF,USDC,BTC
BTC,USDC,USDF,BTC
BTC,USDF,USDT,BTC
BTC,USDT,USDF,BTC
BTC,IP,ETH,BTC
BTC,ETH,IP,BTC
BTC,IP,USDC,BTC
BTC,USDC,IP,BTC
BTC,IP,USDT,BTC
BTC,USDT,IP,BTC
BTC,USDE,ETH,BTC
BTC,ETH,USDE,BTC
BTC,USDE,SOL,BTC
BTC,SOL,USDE,BTC
BTC,USDE,TRX,BTC
BTC,TRX,USDE,BTC
BTC,USDE,USDT,BTC
BTC,USDT,USDE,BTC
BTC,USDE,XRP,BTC
BTC,XRP,USDE,BTC
BTC,USD1,USDT,BTC
BTC,USDT,USD1,BTC
BTC,USD1,ETH,BTC
BTC,ETH,USD1,BTC
BTC,USD1,XRP,BTC
BTC,XRP,USD1,BTC
BTC,USD1,SOL,BTC
BTC,SOL,USD1,BTC
BTC,WBTC,USDT,BTC
BTC,USDT,WBTC,BTC
BTC,WBTC,USDC,BTC
BTC,USDC,WBTC,BTC
BTC,XLM,USDT,BTC
BTC,USDT,XLM,BTC
BTC,XLM,USDC,BTC
BTC,USDC,XLM,BTC
BTC,DEXE,USDT,BTC
BTC,USDT,DEXE,BTC
BTC,QTUM,USDT,BTC
BTC,USDT,QTUM,BTC
BTC,QTUM,USDC,BTC
BTC,USDC,QTUM,BTC
BTC,DASH,USDT,BTC
BTC,USDT,DASH,BTC
BTC,DASH,USDC,BTC
BTC,USDC,DASH,BTC
BTC,NEO,USDT,BTC
BTC,USDT,NEO,BTC
BTC,NEO,USDC,BTC
BTC,USDC,NEO,BTC
BTC,ETC,USDT,BTC
BTC,USDT,ETC,BTC
BTC,ETC,USDC,BTC
BTC,USDC,ETC,BTC
BTC,LTC,EUR,BTC
BTC,EUR,LTC,BTC
BTC,LTC,USDT,BTC
BTC,USDT,LTC,BTC
BTC,LTC,USDC,BTC
BTC,USDC,LTC,BTC
BTC,OMG,USDT,BTC
BTC,USDT,OMG,BTC
BTC,TRX,USDT,BTC
BTC,USDT,TRX,BTC
BTC,TRX,USDC,BTC
BTC,USDC,TRX,BTC
BTC,TRX,USDE,BTC
BTC,USDE,TRX,BTC
BTC,ONT,USDT,BTC
BTC,USDT,ONT,BTC
BTC,DOT,USDC,BTC
BTC,USDC,DOT,BTC
BTC,DOT,USDT,BTC
BTC,USDT,DOT,BTC
CETUS,USDC,USDT,CETUS
CETUS,USDT,USDC,CETUS
CETUS,USDT,USDC,CETUS
CETUS,USDC,USDT,CETUS
TREE,USDC,USDT,TREE
TREE,USDT,USDC,TREE
TREE,USDT,USDC,TREE
TREE,USDC,USDT,TREE
CC,USDC,USDT,CC
CC,USDT,USDC,CC
CC,USDT,USDC,CC
CC,USDC,USDT,CC
SUI,EUR,USDC,SUI
SUI,USDC,EUR,SUI
SUI,EUR,USDT,SUI
SUI,USDT,EUR,SUI
SUI,USDT,USDC,SUI
SUI,USDC,USDT,SUI
SUI,USDT,EUR,SUI
SUI,EUR,USDT,SUI
SUI,USDT,USDE,SUI
SUI,USDE,USDT,SUI
SUI,USDC,USDT,SUI
SUI,USDT,USDC,SUI
SUI,USDC,EUR,SUI
SUI,EUR,USDC,SUI
SUI,USDE,USDT,SUI
SUI,USDT,USDE,SUI
MET,USDC,USDT,MET
MET,USDT,USDC,MET
MET,USDT,USDC,MET
MET,USDC,USDT,MET
RBNT,USDC,USDT,RBNT
RBNT,USDT,USDC,RBNT
RBNT,USDT,USDC,RBNT
RBNT,USDC,USDT,RBNT
W,USDT,USDC,W
W,USDC,USDT,W
W,USDC,USDT,W
W,USDT,USDC,W
YGG,USDT,USDC,YGG
YGG,USDC,USDT,YGG
YGG,USDC,USDT,YGG
YGG,USDT,USDC,YGG
C,USDC,USDT,C
C,USDT,USDC,C
C,USDT,USDC,C
C,USDC,USDT,C
MOVE,USDC,USDT,MOVE
MOVE,USDT,USDC,MOVE
MOVE,USDT,USDC,MOVE
MOVE,USDC,USDT,MOVE
OMI,USDC,USDT,OMI
OMI,USDT,USDC,OMI
OMI,USDT,USDC,OMI
OMI,USDC,USDT,OMI
TNSR,USDC,USDT,TNSR
TNSR,USDT,USDC,TNSR
TNSR,USDT,USDC,TNSR
TNSR,USDC,USDT,TNSR
ZKC,USDT,USDC,ZKC
ZKC,USDC,USDT,ZKC
ZKC,USDC,USDT,ZKC
ZKC,USDT,USDC,ZKC
FF,USDF,USDC,FF
FF,USDC,USDF,FF
FF,USDF,USDT,FF
FF,USDT,USDF,FF
FF,USDT,USDC,FF
FF,USDC,USDT,FF
FF,USDT,USDF,FF
FF,USDF,USDT,FF
FF,USDC,USDT,FF
FF,USDT,USDC,FF
FF,USDC,USDF,FF
FF,USDF,USDC,FF
IO,USDC,USDT,IO
IO,USDT,USDC,IO
IO,USDT,USDC,IO
IO,USDC,USDT,IO
TIA,USDC,USDT,TIA
TIA,USDT,USDC,TIA
TIA,USDT,USDC,TIA
TIA,USDC,USDT,TIA
BANK,USD1,USDT,BANK
BANK,USDT,USD1,BANK
BANK,USDT,USDC,BANK
BANK,USDC,USDT,BANK
BANK,USDT,USD1,BANK
BANK,USD1,USDT,BANK
BANK,USDC,USDT,BANK
BANK,USDT,USDC,BANK
BONK,USDC,USDT,BONK
BONK,USDT,USDC,BONK
BONK,USDT,USDC,BONK
BONK,USDC,USDT,BONK
CGPT,USDC,USDT,CGPT
CGPT,USDT,USDC,CGPT
CGPT,USDT,USDC,CGPT
CGPT,USDC,USDT,CGPT
FLUX,USDC,USDT,FLUX
FLUX,USDT,USDC,FLUX
FLUX,USDT,USDC,FLUX
FLUX,USDC,USDT,FLUX
JASMY,USDC,USDT,JASMY
JASMY,USDT,USDC,JASMY
JASMY,USDT,USDC,JASMY
JASMY,USDC,USDT,JASMY
CKB,USDC,USDT,CKB
CKB,USDT,USDC,CKB
CKB,USDT,USDC,CKB
CKB,USDC,USDT,CKB
JUP,USDC,USDT,JUP
JUP,USDT,USDC,JUP
JUP,USDT,USDC,JUP
JUP,USDC,USDT,JUP
KEKIUS,USDC,USDT,KEKIUS
