start,mid1,mid2,end,leg1_symbol,leg1_action,leg1_price,leg1_from,leg1_to,leg2_symbol,leg2_action,leg2_price,leg2_from,leg2_to,leg3_symbol,leg3_action,leg3_price,leg3_from,leg3_to
USDT,DYDX,USDC,USDT,DYDXUSDT,BUY,ASK,USDT,DYDX,DYDXUSDC,SELL,BID,DYDX,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,EGLD,USDT,USDCUSDT,BUY,ASK,USDT,USDC,EGLDUSDC,BUY,ASK,USDC,EGLD,EGLDUSDT,SELL,BID,EGLD,USDT
USDT,EGLD,USDC,USDT,EGLDUSDT,BUY,ASK,USDT,EGLD,EGLDUSDC,SELL,BID,EGLD,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,EIGEN,USDT,USDCUSDT,BUY,ASK,USDT,USDC,EIGENUSDC,BUY,ASK,USDC,EIGEN,EIGENUSDT,SELL,BID,EIGEN,USDT
USDT,EIGEN,USDC,USDT,EIGENUSDT,BUY,ASK,USDT,EIGEN,EIGENUSDC,SELL,BID,EIGEN,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,ENA,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ENAUSDC,BUY,ASK,USDC,ENA,ENAUSDT,SELL,BID,ENA,USDT
USDT,ENA,USDC,USDT,ENAUSDT,BUY,ASK,USDT,ENA,ENAUSDC,SELL,BID,ENA,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDE,ENA,USDT,USDEUSDT,BUY,ASK,USDT,USDE,ENAUSDE,BUY,ASK,USDE,ENA,ENAUSDT,SELL,BID,ENA,USDT
USDT,ENA,USDE,USDT,ENAUSDT,BUY,ASK,USDT,ENA,ENAUSDE,SELL,BID,ENA,USDE,USDEUSDT,SELL,BID,USDE,USDT
USDT,USDC,EPT,USDT,USDCUSDT,BUY,ASK,USDT,USDC,EPTUSDC,BUY,ASK,USDC,EPT,EPTUSDT,SELL,BID,EPT,USDT
USDT,EPT,USDC,USDT,EPTUSDT,BUY,ASK,USDT,EPT,EPTUSDC,SELL,BID,EPT,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,ERA,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ERAUSDC,BUY,ASK,USDC,ERA,ERAUSDT,SELL,BID,ERA,USDT
USDT,ERA,USDC,USDT,ERAUSDT,BUY,ASK,USDT,ERA,ERAUSDC,SELL,BID,ERA,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,ES,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ESUSDC,BUY,ASK,USDC,ES,ESUSDT,SELL,BID,ES,USDT
USDT,ES,USDC,USDT,ESUSDT,BUY,ASK,USDT,ES,ESUSDC,SELL,BID,ES,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,BTC,ETC,USDT,BTCUSDT,BUY,ASK,USDT,BTC,ETCBTC,BUY,ASK,BTC,ETC,ETCUSDT,SELL,BID,ETC,USDT
USDT,ETC,BTC,USDT,ETCUSDT,BUY,ASK,USDT,ETC,ETCBTC,SELL,BID,ETC,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,USDC,ETC,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ETCUSDC,BUY,ASK,USDC,ETC,ETCUSDT,SELL,BID,ETC,USDT
USDT,ETC,USDC,USDT,ETCUSDT,BUY,ASK,USDT,ETC,ETCUSDC,SELL,BID,ETC,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,BRL,ETH,USDT,BRLUSDT,BUY,ASK,USDT,BRL,ETHBRL,BUY,ASK,BRL,ETH,ETHUSDT,SELL,BID,ETH,USDT
USDT,ETH,BRL,USDT,ETHUSDT,BUY,ASK,USDT,ETH,ETHBRL,SELL,BID,ETH,BRL,BRLUSDT,SELL,BID,BRL,USDT
USDT,BTC,ETH,USDT,BTCUSDT,BUY,ASK,USDT,BTC,ETHBTC,BUY,ASK,BTC,ETH,ETHUSDT,SELL,BID,ETH,USDT
USDT,ETH,BTC,USDT,ETHUSDT,BUY,ASK,USDT,ETH,ETHBTC,SELL,BID,ETH,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,EUR,ETH,USDT,EURUSDT,BUY,ASK,USDT,EUR,ETHEUR,BUY,ASK,EUR,ETH,ETHUSDT,SELL,BID,ETH,USDT
USDT,ETH,EUR,USDT,ETHUSDT,BUY,ASK,USDT,ETH,ETHEUR,SELL,BID,ETH,EUR,EURUSDT,SELL,BID,EUR,USDT
USDT,USD1,ETH,USDT,USD1USDT,BUY,ASK,USDT,USD1,ETHUSD1,BUY,ASK,USD1,ETH,ETHUSDT,SELL,BID,ETH,USDT
USDT,ETH,USD1,USDT,ETHUSDT,BUY,ASK,USDT,ETH,ETHUSD1,SELL,BID,ETH,USD1,USD1USDT,SELL,BID,USD1,USDT
USDT,USDE,ETH,USDT,USDEUSDT,BUY,ASK,USDT,USDE,ETHUSDE,BUY,ASK,USDE,ETH,ETHUSDT,SELL,BID,ETH,USDT
USDT,ETH,USDE,USDT,ETHUSDT,BUY,ASK,USDT,ETH,ETHUSDE,SELL,BID,ETH,USDE,USDEUSDT,SELL,BID,USDE,USDT
USDT,USDF,ETH,USDT,USDFUSDT,BUY,ASK,USDT,USDF,ETHUSDF,BUY,ASK,USDF,ETH,ETHUSDT,SELL,BID,ETH,USDT
USDT,ETH,USDF,USDT,ETHUSDT,BUY,ASK,USDT,ETH,ETHUSDF,SELL,BID,ETH,USDF,USDFUSDT,SELL,BID,USDF,USDT
USDT,USD1,ETHFI,USDT,USD1USDT,BUY,ASK,USDT,USD1,ETHFIUSD1,BUY,ASK,USD1,ETHFI,ETHFIUSDT,SELL,BID,ETHFI,USDT
USDT,ETHFI,USD1,USDT,ETHFIUSDT,BUY,ASK,USDT,ETHFI,ETHFIUSD1,SELL,BID,ETHFI,USD1,USD1USDT,SELL,BID,USD1,USDT
USDT,USDC,ETHFI,USDT,USDCUSDT,BUY,ASK,USDT,USDC,ETHFIUSDC,BUY,ASK,USDC,ETHFI,ETHFIUSDT,SELL,BID,ETHFI,USDT
USDT,ETHFI,USDC,USDT,ETHFIUSDT,BUY,ASK,USDT,ETHFI,ETHFIUSDC,SELL,BID,ETHFI,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDE,ETHFI,USDT,USDEUSDT,BUY,ASK,USDT,USDE,ETHFIUSDE,BUY,ASK,USDE,ETHFI,ETHFIUSDT,SELL,BID,ETHFI,USDT
USDT,ETHFI,USDE,USDT,ETHFIUSDT,BUY,ASK,USDT,ETHFI,ETHFIUSDE,SELL,BID,ETHFI,USDE,USDEUSDT,SELL,BID,USDE,USDT
USDT,USDC,FARTCOIN,USDT,USDCUSDT,BUY,ASK,USDT,USDC,FARTCOINUSDC,BUY,ASK,USDC,FARTCOIN,FARTCOINUSDT,SELL,BID,FARTCOIN,USDT
USDT,FARTCOIN,USDC,USDT,FARTCOINUSDT,BUY,ASK,USDT,FARTCOIN,FARTCOINUSDC,SELL,BID,FARTCOIN,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,FET,USDT,USDCUSDT,BUY,ASK,USDT,USDC,FETUSDC,BUY,ASK,USDC,FET,FETUSDT,SELL,BID,FET,USDT
USDT,FET,USDC,USDT,FETUSDT,BUY,ASK,USDT,FET,FETUSDC,SELL,BID,FET,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,FF,USDT,USDCUSDT,BUY,ASK,USDT,USDC,FFUSDC,BUY,ASK,USDC,FF,FFUSDT,SELL,BID,FF,USDT
USDT,FF,USDC,USDT,FFUSDT,BUY,ASK,USDT,FF,FFUSDC,SELL,BID,FF,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDF,FF,USDT,USDFUSDT,BUY,ASK,USDT,USDF,FFUSDF,BUY,ASK,USDF,FF,FFUSDT,SELL,BID,FF,USDT
USDT,FF,USDF,USDT,FFUSDT,BUY,ASK,USDT,FF,FFUSDF,SELL,BID,FF,USDF,USDFUSDT,SELL,BID,USDF,USDT
USDT,USDC,FHE,USDT,USDCUSDT,BUY,ASK,USDT,USDC,FHEUSDC,BUY,ASK,USDC,FHE,FHEUSDT,SELL,BID,FHE,USDT
USDT,FHE,USDC,USDT,FHEUSDT,BUY,ASK,USDT,FHE,FHEUSDC,SELL,BID,FHE,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,FLK,USDT,USDCUSDT,BUY,ASK,USDT,USDC,FLKUSDC,BUY,ASK,USDC,FLK,FLKUSDT,SELL,BID,FLK,USDT
USDT,FLK,USDC,USDT,FLKUSDT,BUY,ASK,USDT,FLK,FLKUSDC,SELL,BID,FLK,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,FLOCK,USDT,USDCUSDT,BUY,ASK,USDT,USDC,FLOCKUSDC,BUY,ASK,USDC,FLOCK,FLOCKUSDT,SELL,BID,FLOCK,USDT
USDT,FLOCK,USDC,USDT,FLOCKUSDT,BUY,ASK,USDT,FLOCK,FLOCKUSDC,SELL,BID,FLOCK,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,FLOKI,USDT,USDCUSDT,BUY,ASK,USDT,USDC,FLOKIUSDC,BUY,ASK,USDC,FLOKI,FLOKIUSDT,SELL,BID,FLOKI,USDT
USDT,FLOKI,USDC,USDT,FLOKIUSDT,BUY,ASK,USDT,FLOKI,FLOKIUSDC,SELL,BID,FLOKI,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,FLUX,USDT,USDCUSDT,BUY,ASK,USDT,USDC,FLUXUSDC,BUY,ASK,USDC,FLUX,FLUXUSDT,SELL,BID,FLUX,USDT
USDT,FLUX,USDC,USDT,FLUXUSDT,BUY,ASK,USDT,FLUX,FLUXUSDC,SELL,BID,FLUX,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,GAIB,USDT,USDCUSDT,BUY,ASK,USDT,USDC,GAIBUSDC,BUY,ASK,USDC,GAIB,GAIBUSDT,SELL,BID,GAIB,USDT
USDT,GAIB,USDC,USDT,GAIBUSDT,BUY,ASK,USDT,GAIB,GAIBUSDC,SELL,BID,GAIB,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,GALA,USDT,USDCUSDT,BUY,ASK,USDT,USDC,GALAUSDC,BUY,ASK,USDC,GALA,GALAUSDT,SELL,BID,GALA,USDT
USDT,GALA,USDC,USDT,GALAUSDT,BUY,ASK,USDT,GALA,GALAUSDC,SELL,BID,GALA,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,GHIBLI,USDT,USDCUSDT,BUY,ASK,USDT,USDC,GHIBLIUSDC,BUY,ASK,USDC,GHIBLI,GHIBLIUSDT,SELL,BID,GHIBLI,USDT
USDT,GHIBLI,USDC,USDT,GHIBLIUSDT,BUY,ASK,USDT,GHIBLI,GHIBLIUSDC,SELL,BID,GHIBLI,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,GIGGLE,USDT,USDCUSDT,BUY,ASK,USDT,USDC,GIGGLEUSDC,BUY,ASK,USDC,GIGGLE,GIGGLEUSDT,SELL,BID,GIGGLE,USDT
USDT,GIGGLE,USDC,USDT,GIGGLEUSDT,BUY,ASK,USDT,GIGGLE,GIGGLEUSDC,SELL,BID,GIGGLE,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,GRIFFAIN,USDT,USDCUSDT,BUY,ASK,USDT,USDC,GRIFFAINUSDC,BUY,ASK,USDC,GRIFFAIN,GRIFFAINUSDT,SELL,BID,GRIFFAIN,USDT
USDT,GRIFFAIN,USDC,USDT,GRIFFAINUSDT,BUY,ASK,USDT,GRIFFAIN,GRIFFAINUSDC,SELL,BID,GRIFFAIN,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,GRT,USDT,USDCUSDT,BUY,ASK,USDT,USDC,GRTUSDC,BUY,ASK,USDC,GRT,GRTUSDT,SELL,BID,GRT,USDT
USDT,GRT,USDC,USDT,GRTUSDT,BUY,ASK,USDT,GRT,GRTUSDC,SELL,BID,GRT,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,GUN,USDT,USDCUSDT,BUY,ASK,USDT,USDC,GUNUSDC,BUY,ASK,USDC,GUN,GUNUSDT,SELL,BID,GUN,USDT
USDT,GUN,USDC,USDT,GUNUSDT,BUY,ASK,USDT,GUN,GUNUSDC,SELL,BID,GUN,USDC,USDCUSDT,SELL,BID,USDC,USDT
