base1,quote1,base2,quote2,base3,quote3,min_start_usdt,reason
BABY,USDC,USDC,USDT,BABY,USDT,0.000000,spot/market/price not ok
BABYDOGE,USDC,USDC,USDT,BABYDOGE,USDT,0.010000,
BANANA,USDC,USDC,USDT,BANANA,USDT,0.000000,spot/market/price not ok
BANANAS31,USDC,USDC,USDT,BANANAS31,USDT,0.000000,spot/market/price not ok
BANK,USD1,USD1,USDT,BANK,USDT,0.000000,spot/market/price not ok
BANK,USDC,USDC,USDT,BANK,USDT,0.000000,spot/market/price not ok
BARD,USDC,USDC,USDT,BARD,USDT,0.000000,spot/market/price not ok
BCH,USDC,USDC,USDT,BCH,USDT,0.000000,spot/market/price not ok
BCH,BTC,BTC,USDT,BCH,USDT,0.000000,spot/market/price not ok
BCH,BTC,BTC,USDC,BCH,USDC,0.000000,spot/market/price not ok
BDX,BTC,BTC,USDT,BDX,USDT,0.000000,spot/market/price not ok
BDXN,USDC,USDC,USDT,BDXN,USDT,0.000000,spot/market/price not ok
BERA,USDC,USDC,USDT,BERA,USDT,0.000000,spot/market/price not ok
BKN,USDC,USDC,USDT,BKN,USDT,0.000000,spot/market/price not ok
BLESS,USDC,USDC,USDT,BLESS,USDT,0.000000,spot/market/price not ok
BLUM,USDC,USDC,USDT,BLUM,USDT,0.000000,spot/market/price not ok
BMT,USDC,USDC,USDT,BMT,USDT,0.000000,spot/market/price not ok
BNB,USDC,USDC,USDT,BNB,USDT,0.000000,spot/market/price not ok
BOB,USDC,USDC,USDT,BOB,USDT,0.000000,spot/market/price not ok
BOMB,USDC,USDC,USDT,BOMB,USDT,0.000000,spot/market/price not ok
BONK,USDC,USDC,USDT,BONK,USDT,0.000000,spot/market/price not ok
BOOM,USDC,USDC,USDT,BOOM,USDT,0.000000,spot/market/price not ok
MX,BRL,MX,USDC,USDC,BRL,0.000000,spot/market/price not ok
MX,BRL,MX,USDT,BRL,USDT,0.000000,spot/market/price not ok
BTC,BRL,BTC,USDC,USDC,BRL,0.000000,spot/market/price not ok
BTC,BRL,XRP,BTC,XRP,BRL,0.000000,spot/market/price not ok
BTC,BRL,SOL,BTC,SOL,BRL,0.000000,spot/market/price not ok
BTC,BRL,ETH,BTC,ETH,BRL,0.000000,spot/market/price not ok
BTC,BRL,BTC,USDT,BRL,USDT,0.000000,spot/market/price not ok
BTC,BRL,MX,BTC,MX,BRL,0.000000,spot/market/price not ok
