base1,quote1,base2,quote2,base3,quote3
TRX,USDC,USDT,USDC,TRX,USDT
TRX,USDC,USDD,USDC,USDD,TRX
USDD,TRX,USDD,USDT,TRX,USDT
TRX,USDT,WIN,USDT,WIN,TRX
USD1,USDT,XRP,USDT,XRP,USD1
USD1,USDT,WLFI,USDT,WLFI,USD1
USDT,USDC,XRP,USDT,XRP,USDC
USDT,USDC,XLM,USDT,XLM,USDC
USDT,USDC,VR,USDT,VR,USDC
USDT,USDC,USTC,USDT,USTC,USDC
USDT,USDC,WIF,USDT,WIF,USDC
USDT,USDC,ZIL,USDT,ZIL,USDC
USDT,USDC,VRA,USDT,VRA,USDC
USDT,USDC,XMR,USDT,XMR,USDC
USDD,USDC,USDD,USDT,USDT,USDC
