A,B,C,leg1,leg2,leg3,baseMin1,quoteMin1,baseInc1,quoteInc1,priceInc1,baseMin2,quoteMin2,baseInc2,quoteInc2,priceInc2,baseMin3,quoteMin3,baseInc3,quoteInc3,priceInc3
USDT,BTC,DOGE,BUY BTC/USDT,BUY DOGE/BTC,SELL DOGE/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.00001,0.0001,0.000000001,0.000000001,10,0.1,0.0001,0.00001,0.00001
USDT,BTC,KNC,BUY BTC/USDT,BUY KNC/BTC,SELL KNC/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.00001,0.0001,0.000000001,0.000000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,BTC,EWT,BUY BTC/USDT,BUY EWT/BTC,SELL EWT/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.000001,0.01,0.000000001,0.000000001,1,0.1,0.01,0.0001,0.0001
USDT,BTC,PAXG,BUY BTC/USDT,BUY PAXG/BTC,SELL PAXG/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.0001,0.000001,0.0001,0.000001,0.000001,0.0001,0.1,0.0001,0.01,0.01
USDT,BTC,POND,BUY BTC/USDT,BUY POND/BTC,SELL POND/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.000001,0.0001,0.0000000001,0.0000000001,1,0.1,0.0001,0.000001,0.000001
USDT,BTC,IOTA,BUY BTC/USDT,BUY IOTA/BTC,SELL IOTA/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.000001,0.0001,0.000000001,0.000000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,BTC,AVAX,BUY BTC/USDT,BUY AVAX/BTC,SELL AVAX/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.000001,0.0001,0.00000001,0.00000001,0.01,0.1,0.0001,0.001,0.001
USDT,BTC,XRP,BUY BTC/USDT,BUY XRP/BTC,SELL XRP/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.00001,0.0001,0.00000001,0.00000001,0.1,0.1,0.0001,0.000001,0.00001
USDT,BTC,XCN,BUY BTC/USDT,BUY XCN/BTC,SELL XCN/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.000001,0.0001,0.00000000001,0.00000000001,10,0.1,0.0001,0.0000001,0.0000001
USDT,BTC,TRAC,BUY BTC/USDT,BUY TRAC/BTC,SELL TRAC/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.00001,0.0001,0.00000001,0.00000001,1,0.1,0.0001,0.0001,0.0001
USDT,BTC,TEL,BUY BTC/USDT,BUY TEL/BTC,SELL TEL/USDT,0.00001,0.1,0.00000001,0.000001,0.1,100,0.00001,0.01,0.00000000001,0.00000000001,1000,0.1,1,0.000001,0.000001
USDT,BTC,NEO,BUY BTC/USDT,BUY NEO/BTC,SELL NEO/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.001,0.00001,0.000001,0.0000001,0.0000001,0.001,0.1,0.000001,0.000001,0.0001
USDT,BTC,SNX,BUY BTC/USDT,BUY SNX/BTC,SELL SNX/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.00001,0.01,0.00000001,0.00000001,1,0.1,0.01,0.0001,0.0001
USDT,BTC,DAG,BUY BTC/USDT,BUY DAG/BTC,SELL DAG/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.00001,0.0001,0.00000001,0.0000000001,1,0.1,0.0001,0.000001,0.000001
USDT,BTC,OGN,BUY BTC/USDT,BUY OGN/BTC,SELL OGN/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.000001,0.0001,0.000000001,0.000000001,0.1,0.1,0.0001,0.00001,0.00001
USDT,BTC,XMR,BUY BTC/USDT,BUY XMR/BTC,SELL XMR/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.001,0.00001,0.001,0.000001,0.000001,0.001,1,0.001,0.01,0.01
USDT,BTC,LTC,BUY BTC/USDT,BUY LTC/BTC,SELL LTC/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.001,0.00001,0.001,0.000001,0.000001,0.001,0.1,0.001,0.01,0.01
USDT,BTC,AAVE,BUY BTC/USDT,BUY AAVE/BTC,SELL AAVE/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.001,0.000001,0.0001,0.000001,0.000001,0.001,0.1,0.0001,0.001,0.001
USDT,BTC,FET,BUY BTC/USDT,BUY FET/BTC,SELL FET/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.00001,0.0001,0.000000001,0.000000001,1,0.1,0.0001,0.0001,0.0001
USDT,BTC,ANKR,BUY BTC/USDT,BUY ANKR/BTC,SELL ANKR/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.00001,0.0001,0.00000001,0.0000000001,1,0.1,0.0001,0.00001,0.00001
USDT,BTC,DGB,BUY BTC/USDT,BUY DGB/BTC,SELL DGB/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.00001,0.0001,0.0000000001,0.0000000001,1,0.1,0.0001,0.000001,0.000001
USDT,BTC,WAVES,BUY BTC/USDT,BUY WAVES/BTC,SELL WAVES/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.000001,0.0001,0.00000001,0.00000001,0.01,0.1,0.0001,0.0001,0.0001
USDT,BTC,KAS,BUY BTC/USDT,BUY KAS/BTC,SELL KAS/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.000001,0.0001,0.000000001,0.000000001,10,0.1,0.0001,0.00001,0.00001
USDT,BTC,SCRT,BUY BTC/USDT,BUY SCRT/BTC,SELL SCRT/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.000001,0.0001,0.000000001,0.000000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,BTC,VET,BUY BTC/USDT,BUY VET/BTC,SELL VET/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.00001,0.001,0.0000000001,0.0000000001,10,0.1,0.1,0.00001,0.00001
USDT,BTC,EGLD,BUY BTC/USDT,BUY EGLD/BTC,SELL EGLD/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.00001,0.0001,0.00000001,0.00000001,0.01,1,0.0001,0.01,0.01
USDT,BTC,STX,BUY BTC/USDT,BUY STX/BTC,SELL STX/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.000001,0.0001,0.00000001,0.00000001,1,0.1,0.0001,0.0001,0.0001
USDT,BTC,HBAR,BUY BTC/USDT,BUY HBAR/BTC,SELL HBAR/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.000001,0.0001,0.000000001,0.000000001,1,0.1,0.0001,0.00001,0.00001
USDT,BTC,KLV,BUY BTC/USDT,BUY KLV/BTC,SELL KLV/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.000001,0.0001,0.00000000001,0.00000000001,10,0.1,0.0001,0.000001,0.000001
USDT,BTC,RSR,BUY BTC/USDT,BUY RSR/BTC,SELL RSR/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.000001,0.0001,0.0000000001,0.0000000001,10,0.1,0.0001,0.000001,0.000001
USDT,USD1,SOL,BUY USD1/USDT,BUY SOL/USD1,SELL SOL/USDT,0.1,0.1,0.01,0.0001,0.0001,0.001,0.1,0.001,0.01,0.01,0.001,0.1,0.001,0.01,0.01
USDT,USD1,BTC,BUY USD1/USDT,BUY BTC/USD1,SELL BTC/USDT,0.1,0.1,0.01,0.0001,0.0001,0.000001,0.1,0.000001,0.01,0.01,0.00001,0.1,0.00000001,0.000001,0.1
