A,B,C,Leg1,Step1,MinQty1,MinNotional1,Leg2,Step2,MinQty2,MinNotional2,Leg3,Step3,MinQty3,MinNotional3,Leg1Symbol,Leg1Side,Leg1Base,Leg1Quote,Leg1QtyStep,Leg1QuoteStep,Leg1PriceStep,Leg1MinQty,Leg1MinQuote,Leg1MinNotional,Leg2Symbol,Leg2Side,Leg2Base,Leg2Quote,Leg2QtyStep,Leg2QuoteStep,Leg2PriceStep,Leg2MinQty,Leg2MinQuote,Leg2MinNotional,Leg3Symbol,Leg3Side,Leg3Base,Leg3Quote,Leg3QtyStep,Leg3QuoteStep,Leg3PriceStep,Leg3MinQty,Leg3MinQuote,Leg3MinNotional
USDT,ETH,NMR,BUY ETH/USDT,0.00001,0.00001,0,BUY NMR/ETH,0.01,0.01,0,SELL NMR/USDT,0.001,0.001,0,ETHUSDT,BUY,ETH,USDT,0.00001,0,0,0.00001,0,0,NMRETH,BUY,NMR,ETH,0.01,0,0,0.01,0,0,NMRUSDT,SELL,NMR,USDT,0.001,0,0,0.001,0,0
USDT,ETH,SNX,BUY ETH/USDT,0.00001,0.00001,0,BUY SNX/ETH,0.01,0.01,0,SELL SNX/USDT,0.01,0.01,0,ETHUSDT,BUY,ETH,USDT,0.00001,0,0,0.00001,0,0,SNXETH,BUY,SNX,ETH,0.01,0,0,0.01,0,0,SNXUSDT,SELL,SNX,USDT,0.01,0,0,0.01,0,0
USDT,ETH,MX,BUY ETH/USDT,0.00001,0.00001,0,BUY MX/ETH,0.01,0.01,0,SELL MX/USDT,0.01,0.01,0,ETHUSDT,BUY,ETH,USDT,0.00001,0,0,0.00001,0,0,MXETH,BUY,MX,ETH,0.01,0,0,0.01,0,0,MXUSDT,SELL,MX,USDT,0.01,0,0,0.01,0,0
USDT,ETH,BTC,BUY ETH/USDT,0.00001,0.00001,0,SELL ETH/BTC,0.001,0.001,0,SELL BTC/USDT,0.00000001,0.00000001,0,ETHUSDT,BUY,ETH,USDT,0.00001,0,0,0.00001,0,0,ETHBTC,SELL,ETH,BTC,0.001,0,0,0.001,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,ETH,BRL,BUY ETH/USDT,0.00001,0.00001,0,SELL ETH/BRL,0.0001,0.0001,0,SELL BRL/USDT,0.01,0.01,0,ETHUSDT,BUY,ETH,USDT,0.00001,0,0,0.00001,0,0,ETHBRL,SELL,ETH,BRL,0.0001,0,0,0.0001,0,0,BRLUSDT,SELL,BRL,USDT,0.01,0,0,0.01,0,0
USDT,ETH,OXT,BUY ETH/USDT,0.00001,0.00001,0,BUY OXT/ETH,0.01,0.01,0,SELL OXT/USDT,0.01,0.01,0,ETHUSDT,BUY,ETH,USDT,0.00001,0,0,0.00001,0,0,OXTETH,BUY,OXT,ETH,0.01,0,0,0.01,0,0,OXTUSDT,SELL,OXT,USDT,0.01,0,0,0.01,0,0
USDT,BRL,XRP,BUY BRL/USDT,0.01,0.01,0,BUY XRP/BRL,0.01,0.01,0,SELL XRP/USDT,0.01,0.01,0,BRLUSDT,BUY,BRL,USDT,0.01,0,0,0.01,0,0,XRPBRL,BUY,XRP,BRL,0.01,0,0,0.01,0,0,XRPUSDT,SELL,XRP,USDT,0.01,0,0,0.01,0,0
USDT,BRL,BTC,BUY BRL/USDT,0.01,0.01,0,BUY BTC/BRL,0.00001,0.00001,0,SELL BTC/USDT,0.00000001,0.00000001,0,BRLUSDT,BUY,BRL,USDT,0.01,0,0,0.01,0,0,BTCBRL,BUY,BTC,BRL,0.00001,0,0,0.00001,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,BRL,MX,BUY BRL/USDT,0.01,0.01,0,BUY MX/BRL,0.01,0.01,0,SELL MX/USDT,0.01,0.01,0,BRLUSDT,BUY,BRL,USDT,0.01,0,0,0.01,0,0,MXBRL,BUY,MX,BRL,0.01,0,0,0.01,0,0,MXUSDT,SELL,MX,USDT,0.01,0,0,0.01,0,0
USDT,ANKR,BTC,BUY ANKR/USDT,0.0001,0.0001,0,SELL ANKR/BTC,0.0001,0.0001,0,SELL BTC/USDT,0.00000001,0.00000001,0,ANKRUSDT,BUY,ANKR,USDT,0.0001,0,0,0.0001,0,0,ANKRBTC,SELL,ANKR,BTC,0.0001,0,0,0.0001,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
